# Source:
# sentimentdictionary-uk / tonSUM.3.0.csv
# https://github.com/Oksana504/sentimentdictionary-uk
#
# Format:
# 'word',score,corpus_style
#
# The original file includes repeated lemmas across styles. The analyzer averages
# scores for duplicated lemmas while building the lexicon dictionary.

'запаморочення',-1,буденність
'зараза',-2,буденність
'засіб',0,буденність
'засідання',0,буденність
'захват',2,буденність
'заява',0,буденність
'злодій',-2,буденність
'злочин',-2,буденність
'злочинець',-2,буденність
'зрада',-2,буденність
'зрада',-2,епістолярний стиль
'зрадник',-2,буденність
'зручність',1,буденність
'зухвальство',-1,буденність
'зцілення',1,буденність
'ідеал',1,буденність
'ідеологія',0,буденність
'ідилія',1,буденність
'ізгой',-2,буденність
'ізоляція',-1,буденність
'ікона',1,буденність
'імпотенція',-2,буденність
'інтеграція',1,буденність
'інфаркт',-2,буденність
'іскра',0,буденність
'їжа',0,буденність
'йолоп',-2,буденність
'каліцтво',-2,буденність
'капітал',0,буденність
'капкан',-1,буденність
'кар'єрист',-1,буденність
'кастинг',0,буденність
'катастрофа',-2,буденність
'каток',0,буденність
'каяття',0,буденність
'квінтесенція',0,буденність
'квиток',0,буденність
'кепкування',-1,буденність
'килим',0,буденність
'кінозірка',1,буденність
'кіборг',1,буденність
'кілер',-2,буденність
'кіно',1,буденність
'клятва',0,буденність
'кляуза',-2,буденність
'книга',0,буденність
'ковдра',0,буденність
'кодло',-2,буденність
'козел',-2,буденність
'колобок',1,буденність
'колгосп',0,буденність
'комедія',1,буденність
'комір',0,буденність
'компілятор',0,буденність
'комфорт',1,буденність
'конгрес',0,буденність
'контент',0,буденність
'концентрація',0,буденність
'концерт',1,буденність
'коп',0,буденність
'копійка',0,буденність
'корінь',0,буденність
'король',1,буденність
'королева',1,буденність
'космос',1,буденність
'краса',2,буденність
'красень',2,буденність
'криза',-2,буденність
'кривда',-2,буденність
'критика',-1,буденність
'кричалка',0,буденність
'кров',-2,буденність
'круть',2,буденність
'культура',1,буденність
'кумедність',1,буденність
'кумир',1,буденність
'купівля',0,буденність
'курва',-2,буденність
'курс',0,буденність
'кум',0,буденність
'кусок',0,буденність
'кульбаба',0,буденність
'клоун',0,буденність
'книга',0,наукова
'книга',0,публіцистика
'книга',0,художня література
'книга',0,епістолярний стиль
'легкість',1,буденність
'ледар',-1,буденність
'лексика',0,буденність
'лідер',1,буденність
'лінощі',-1,буденність
'любов',2,буденність
'любов',1,епістолярний стиль
'людяність',1,буденність
'люкс',1,буденність
'ляпас',-1,буденність
'макуха',0,буденність
'марафон',0,буденність
'марнотратство',-2,буденність
'математика',0,буденність
'медик',1,буденність
'мелодія',1,буденність
'мерзенність',-2,буденність
'милосердя',1,буденність
'мир',1,буденність
'миротворець',2,буденність
'молитва',1,буденність
'мрія',1,буденність
'мудрець',1,буденність
'мужність',1,буденність
'музика',1,буденність
